Date,Open,High,Low,Close,Adj Close,Volume,Interest_Rate,Oil_Price
10/18/2017,149.190002,149.210007,148.639999,148.860001,144.39859,17218200,2.28,52.05
10/19/2017,147.990005,148.330002,147.270004,148.309998,143.865067,27680300,2.3,51.29
10/20/2017,148.910004,149.039993,148.529999,148.710007,144.253098,30173300,2.3,51.63
10/23/2017,149.020004,149.029999,147.529999,147.740005,143.31218,29297100,2.34,51.91
10/24/2017,148.029999,148.300003,147.440002,147.990005,143.554657,20289500,2.33,52.32
10/25/2017,147.699997,148.179993,146.330002,147.429993,143.011459,36179100,2.39,51.97
10/26/2017,147.339996,147.710007,146.919998,146.960007,142.555496,28230200,2.38,52.41
10/27/2017,149.429993,151.520004,149.199997,151.240005,146.707291,60165100,2.42,53.92
10/30/2017,151.130005,152.190002,150.990005,151.580002,147.037064,31733400,2.44,54.11
10/31/2017,152.070007,152.369995,151.630005,152.149994,147.589951,26319300,2.46,54.36
11/1/2017,152.759995,152.830002,151.5,152.100006,147.541489,29481600,2.42,54.32
11/2/2017,151.929993,151.990005,150.770004,151.809998,147.260193,31017400,2.37,54.55
11/3/2017,152.360001,153.289993,151.839996,153.270004,148.676392,26199200,2.38,55.63
11/6/2017,153.149994,153.850006,153.100006,153.789993,149.180817,28693900,2.37,57.34
11/7/2017,153.669998,154.080002,153.339996,153.880005,149.268143,21333100,2.35,57.19
11/8/2017,153.800003,154.539993,153.619995,154.5,149.869568,17373500,2.34,56.82
11/9/2017,153.229996,153.770004,152.110001,153.690002,149.083817,40594500,2.32,57.16
11/10/2017,153.330002,153.800003,153.059998,153.679993,149.074081,20150800,2.32,56.75
11/13/2017,153.100006,154.070007,153.100006,153.869995,149.258423,12522400,2.32,56.77
11/14/2017,153.330002,153.5,152.570007,153.309998,148.71521,25173800,2.33,55.67
11/15/2017,152.649994,153,151.779999,152.589996,148.0168,24808000,2.4,55.28
11/16/2017,153.360001,154.889999,153.330002,154.539993,149.908325,34790600,2.4,55.14
11/17/2017,154.580002,154.690002,153.800003,153.949997,149.335983,28725800,2.38,56.21
11/20/2017,154.059998,154.199997,153.610001,153.830002,149.219604,21143900,2.33,56.21
11/21/2017,154.559998,155.570007,154.490005,155.5,150.839554,20147800,2.37,56.84
11/22/2017,155.639999,155.839996,155.339996,155.690002,151.023895,17299000,2.35,57.88
11/24/2017,155.850006,156.309998,155.759995,156.259995,151.576797,8280600,2.37,58.94
11/27/2017,156.210007,156.559998,155.830002,156.190002,151.508911,22653400,2.36,58.1
11/28/2017,156.539993,156.690002,155.699997,156.589996,151.896896,25227300,2.32,57.96
11/29/2017,156.410004,156.449997,153.119995,153.860001,149.248734,71986300,0,57.25
11/30/2017,154.509995,155.449997,154.149994,155.149994,150.500076,56595500,2.34,57.4
12/1/2017,154.199997,155.240005,152.259995,154.490005,149.859818,59015800,2.32,58.35
12/4/2017,155.460007,155.630005,152.559998,152.710007,148.133224,51319100,2.34,57.48
12/5/2017,152.679993,154.550003,152.100006,152.809998,148.230164,40604200,2.37,57.66
12/6/2017,152.240005,153.740005,152.059998,153.5,148.899536,28647800,2.42,55.79
12/7/2017,153.490005,154.460007,153.330002,154.020004,149.403931,32666200,2.37,56.5
12/8/2017,155.149994,155.529999,154.460007,154.699997,150.063568,28081700,2.37,57.15
12/11/2017,154.770004,155.949997,154.759995,155.899994,151.2276,20821500,2.36,57.84
12/12/2017,155.830002,156.149994,155.360001,155.690002,151.023895,20310300,2.33,57.12
12/13/2017,156.320007,156.490005,155.759995,155.990005,151.314896,24418500,2.37,56.59
12/14/2017,156.259995,156.660004,155.710007,155.880005,151.208237,24594700,2.38,57
12/15/2017,156.490005,157.820007,156.229996,157.649994,152.925156,49816200,2.39,57.29
12/18/2017,158.360001,158.770004,158.070007,158.639999,154.207275,26844500,2.4,57.17
12/19/2017,158.339996,158.5,157.259995,157.699997,153.293518,31415000,2.36,57.49
12/20/2017,158.25,158.279999,156.910004,157.529999,153.128265,38972600,2.35,58.09
12/21/2017,157.75,158.25,157.369995,157.550003,153.14772,18638700,2.35,58.34
